"DomainName","DNSAuthRecord","ValidationToken"
"domain9.jazuregrave.fr","_dnsauth.domain9","_l9gko74m5265nvmjpnrthvr253e4cqh"
"domain58.jazuregrave.fr","_dnsauth.domain58","_dj3xzrg24tpoh7c2tmwm1j7soafuc5c"
"domain34.jazuregrave.fr","_dnsauth.domain34","_v5ixajsb6yfw6nogoo61q6732rl5j76"
"domain88.jazuregrave.fr","_dnsauth.domain88","_u07wzz74zhrc9l5ggwlr12o73elwhwo"
"domain59.jazuregrave.fr","_dnsauth.domain59","_3kp7q68jvm9fwth4qk499hraz6yvio7"
"domain13.jazuregrave.fr","_dnsauth.domain13","_17rcvrnh5a1y50fq291l4pytvo4sisz"
"domain39.jazuregrave.fr","_dnsauth.domain39","_auo9jae4qhof777zmnhyou66emj4vmk"
"domain64.jazuregrave.fr","_dnsauth.domain64","_ttz747ei9npx3itfrdcehkwpamewsvt"
"domain38.jazuregrave.fr","_dnsauth.domain38","_4cheuxsojz9xau45yledqpf4vov4k18"
"domain97.jazuregrave.fr","_dnsauth.domain97","_wtbji12ppdsfyvp9fy8wakw4jhsazbx"
"domain90.jazuregrave.fr","_dnsauth.domain90","_c3dv1hdky1p9t3rhxrn5bdlcbp6iw4a"
"domain22.jazuregrave.fr","_dnsauth.domain22","_ejod5saxlldtiiep5zysjnrktn3rk8v"
"domain26.jazuregrave.fr","_dnsauth.domain26","_dq2k12lxlburm4jh5vdp7z0xhvmnb4n"
"domain73.jazuregrave.fr","_dnsauth.domain73","_6ibyah47u5qmqcqxc9ogca7lbsbtrnt"
"domain62.jazuregrave.fr","_dnsauth.domain62","_q5wlat51ayin9scx41jyykdkv7pkjuo"
"domain24.jazuregrave.fr","_dnsauth.domain24","_qbz75esjbsltw9mky87eg8fvnf07z0s"
"domain89.jazuregrave.fr","_dnsauth.domain89","_oqddwzgvfw77grgc0tn64udlbcus0o5"
"domain27.jazuregrave.fr","_dnsauth.domain27","_3rg8xbncgj0lkwursi31dh48i7g50bq"
"domain83.jazuregrave.fr","_dnsauth.domain83","_lwjkfe5m75pooa1n64xfv2c6ryankzs"
"domain8.jazuregrave.fr","_dnsauth.domain8","_w63jopme30p58p6lk9dfji5ul6mfska"
"domain23.jazuregrave.fr","_dnsauth.domain23","_gz55fm1rsw8uzaumk4junmbsdlqn2uo"
"domain84.jazuregrave.fr","_dnsauth.domain84","_00pmuwaely6l97xrk7v1bc2d3aed3b1"
"domain14.jazuregrave.fr","_dnsauth.domain14","_zkp9bx0uq70k8rxj7zp4l4kqpwlrxd0"
"domain55.jazuregrave.fr","_dnsauth.domain55","_sxxdutjmpgq9ct11jsqrwq4lz6ydidq"
"domain56.jazuregrave.fr","_dnsauth.domain56","_a2sx1cwb0695l1v4fst2dy99a8bo1zg"
"domain15.jazuregrave.fr","_dnsauth.domain15","_9jj54ftgyy1bh93tov9x95qvur5i72o"
"domain87.jazuregrave.fr","_dnsauth.domain87","_j8yq0vtbjr54fs36k1i4btau4kavlhp"
"domain11.jazuregrave.fr","_dnsauth.domain11","_fqhsrk3fi0au4d1g7ujgpoksdfqsdmh"
"domain57.jazuregrave.fr","_dnsauth.domain57","_4o644tntvg9t2b9zsp8c4mqkquxfsvz"
"domain48.jazuregrave.fr","_dnsauth.domain48","_9xdh50wp9wmd7n22kh3b6vqv9y7ix67"
"domain79.jazuregrave.fr","_dnsauth.domain79","_05v48hkh4vvkgp3u7k9pbxvnqmmfk21"
"domain76.jazuregrave.fr","_dnsauth.domain76","_61iqdpnmytanmwn2xic2o277yyrmelw"
"domain30.jazuregrave.fr","_dnsauth.domain30","_fv010cpagi305jtpqwdjg67dqphixl4"
"domain51.jazuregrave.fr","_dnsauth.domain51","_8kpy8wkxecqagrl86ebkaxzvjffnbwp"
"domain54.jazuregrave.fr","_dnsauth.domain54","_v5hb7jtq0ecjeogvpy8a3yxymp3xy1b"
"domain45.jazuregrave.fr","_dnsauth.domain45","_qn7pru3kzjs1awbiy5pa3zp8e9f77nd"
"domain61.jazuregrave.fr","_dnsauth.domain61","_8brgwtmj9ryq2tj07omlox739y949nt"
"domain63.jazuregrave.fr","_dnsauth.domain63","_7b3hrv6g37vid161y9rdkczwsxm2xvb"
"domain60.jazuregrave.fr","_dnsauth.domain60","_874ajhwm8fi6vwqkax6hqkfs85gzxy0"
"domain93.jazuregrave.fr","_dnsauth.domain93","_fuilqrj5ppl4mairdhbeak9vtc3uqjm"
"domain31.jazuregrave.fr","_dnsauth.domain31","_ku2qatlisk4rcn33vz40th9yeblfn4e"
"domain65.jazuregrave.fr","_dnsauth.domain65","_155fi1ukmjjvn92nm9c07q0zt5rjwur"
"domain36.jazuregrave.fr","_dnsauth.domain36","_oh0uv313phryacwdoda187kqcwf6vhp"
"domain47.jazuregrave.fr","_dnsauth.domain47","_5gzes7dy4o44vndibil9ixvoxj9oa39"
"domain72.jazuregrave.fr","_dnsauth.domain72","_9mqeg4q4wjg89g5yi6e4abtxltcqtz7"
"domain98.jazuregrave.fr","_dnsauth.domain98","_tbgu0ye56jcdywgigqi9wk3ngbwnlbt"
"domain19.jazuregrave.fr","_dnsauth.domain19","_3rqpxvemh26jsm5ckoo6czqpajy6000"
"domain33.jazuregrave.fr","_dnsauth.domain33","_uyrttyzc96esi3lncyfhbl01trsrygy"
"domain17.jazuregrave.fr","_dnsauth.domain17","_hesdlva2fbovxx61scxgcjy5of4ohyj"
"domain32.jazuregrave.fr","_dnsauth.domain32","_rqveuxdnk8vq18exx5l1jmu4we6csjv"
"domain43.jazuregrave.fr","_dnsauth.domain43","_asbliipj5ug862erfhqf0ltvey81w3y"
"domain52.jazuregrave.fr","_dnsauth.domain52","_tep3d87e7skbuazeulp4u4pasq1pamj"
"domain6.jazuregrave.fr","_dnsauth.domain6","_mz4dwxx57q76ztxy8m3hmz6d91faeh1"
"domain69.jazuregrave.fr","_dnsauth.domain69","_yjt36pufhesd8d165ddgs2ugfvn8g96"
"domain10.jazuregrave.fr","_dnsauth.domain10","_d78eajfmxfq3jc05hil9yq94yd72lb7"
"domain95.jazuregrave.fr","_dnsauth.domain95","_5idetvwaqnl2iwteyr2uhktwztsifbh"
"domain20.jazuregrave.fr","_dnsauth.domain20","_gz9n2cd54owkw3slygjufqink8bzyq6"
"domain28.jazuregrave.fr","_dnsauth.domain28","_u8r5thsjfckemei8p4srdnbzi2v65hy"
"domain16.jazuregrave.fr","_dnsauth.domain16","_loe2or01rm9o7o0cmxqveo2tmm4muq0"
"domain41.jazuregrave.fr","_dnsauth.domain41","_mm20bolc1hn2aykrnokz7yopyetxgk3"
"domain25.jazuregrave.fr","_dnsauth.domain25","_1ayuk7ig0eenyb6scxqlpys7r08jvz4"
"domain5.jazuregrave.fr","_dnsauth.domain5","_kj4xqi8nxou0cd4o5qjhauiv6hhisu8"
"domain50.jazuregrave.fr","_dnsauth.domain50","_etqp4nntalwd2w2ud3egrvahq1mskv1"
"domain94.jazuregrave.fr","_dnsauth.domain94","_ptw1i2nlj53rln4g2zon9tg0fiaqyw4"
"domain78.jazuregrave.fr","_dnsauth.domain78","_batucb5853b8af8qx8vw1lpammqqkkd"
"domain77.jazuregrave.fr","_dnsauth.domain77","_4p7f19byrxfbvy860nfhukqg7idke7l"
"domain96.jazuregrave.fr","_dnsauth.domain96","_i1ft51c0m7gi0dban4ewn39w0uqnf3l"
"domain70.jazuregrave.fr","_dnsauth.domain70","_26jahhtdr3ityljpb1xyj3styazmegc"
"domain80.jazuregrave.fr","_dnsauth.domain80","_so8h5auqkowy93d8kgnkztcfciuirvs"
"domain42.jazuregrave.fr","_dnsauth.domain42","_zkmzfncock3objmvqxhw5j2c1na9zdm"
"domain4.jazuregrave.fr","_dnsauth.domain4","_id6vd28iia3k3oabe8yjvuzpe8b3lmk"
